theta_deg,phi_deg,dir_pec_dBi,dir_opt_dBi,in_target
1.5000000000000002,257.5,19.715723943286275,12.02495502690249,false
1.5000000000000002,262.5,19.715597689990126,12.098724472939736,false
1.5000000000000002,267.5,19.715524614063447,12.171545899017124,false
1.5000000000000002,272.5,19.71550831408094,12.242902212843134,false
1.5000000000000002,277.5,19.715549293213407,12.312282431330972,false
1.5000000000000002,282.5,19.71564494296675,12.379183592623267,false
1.5000000000000002,287.5,19.715789786926507,12.443113208287372,false
1.5000000000000002,292.5,19.71597595724498,12.50359229707226,false
1.5000000000000002,297.5,19.71619385195884,12.560158978712098,false
1.5000000000000002,302.5,19.71643290268191,12.61237254890948,false
1.5000000000000002,307.5,19.716682371915507,12.659817909759157,false
1.5000000000000002,312.5,19.716932098308085,12.702110196940662,false
1.5000000000000002,317.5,19.717173116692706,12.738899427765627,false
1.5000000000000002,322.5,19.717398096541324,12.769874992615403,false
1.5000000000000002,327.5,19.71760156551118,12.794769824840591,false
1.5000000000000002,332.5,19.717779911211856,12.813364107927779,false
1.5000000000000002,337.5,19.71793118098686,12.825488409915355,false
1.5000000000000002,342.49999999999994,19.7180547231764,12.831026169544078,false
1.5000000000000002,347.5,19.718150731173726,12.829915492478136,false
1.5000000000000002,352.5,19.718219761499466,12.822150245734472,false
1.5000000000000002,357.5,19.718262297948478,12.80778046176015,false
2.5,2.5,19.44908209836253,13.00425248635709,false
2.5,7.499999999999999,19.44912817936357,12.95745661342437,false
2.5,12.5,19.4491632125822,12.900164427165606,false
2.5,17.5,19.449165965699454,12.83284913452606,false
2.5,22.5,19.44910915408042,12.756071883444168,false
2.5,27.5,19.448963551350452,12.670477256393154,false
2.5,32.5,19.448702610115085,12.57678798782379,false
2.5,37.5,19.448307002202224,12.475798551888474,false
2.5,42.49999999999999,19.447768490856344,12.368367284967706,false
2.5,47.5,19.44709262217541,12.255406803664313,false
2.5,52.5,19.446299860653955,12.137872646564576,false
2.5,57.5,19.44542497752005,12.016750289956546,false
2.5,62.49999999999999,19.444514708823274,11.893040936991191,false
2.5,67.5,19.443623908284902,11.767746722452806,false
2.5,72.5,19.44281060305726,11.641856173956079,false
2.5,77.5,19.44213049677704,11.516330889111808,false
2.5,82.5,19.441631536978505,11.392094398142568,false
2.5,87.5,19.44134916374753,11.270024066057893,false
2.5,92.5,19.441302782804335,11.150946647678136,false
2.5,97.5,19.441493867300967,11.035637760607468,false
2.5,102.5,19.44190590492754,10.924825120974157,false
2.5,107.49999999999999,19.44250619303153,10.819194942923927,false
2.5,112.5,19.44324927031952,10.719400491038877,false
2.5,117.5,19.444081585312905,10.626071450165213,false
2.5,122.49999999999999,19.4449468617698,10.539822586759783,false
2.5,127.50000000000001,19.44579154632439,10.46126015277845,false
2.5,132.5,19.446569722105213,10.390984641682062,false
2.5,137.5,19.44724694357712,10.329588839851862,false
2.5,142.5,19.447802583127306,10.277650598281403,false
2.5,147.49999999999997,19.44823046237993,10.235720332727569,false
2.5,152.5,19.448537748923833,10.204303884546404,false
2.5,157.5,19.44874230732728,10.183841969014162,false
2.5,162.5,19.44886887727935,10.174687930982758,false
2.5,167.5,19.448944589547345,10.177085853883568,false
2.5,172.5,19.44899440564374,10.191151177693333,false
2.5,177.5,19.44903707048799,10.216855848722163,false
2.5,182.5,19.449082098362542,10.254019653013325,false
2.5,187.5,19.44912817936356,10.302308811740165,false
2.5,192.49999999999997,19.449163212582214,10.361242206380926,false
2.5,197.5,19.449165965699457,10.43020483988502,false
2.5,202.5,19.44910915408041,10.508467422489874,false
2.5,207.5,19.448963551350456,10.59521038638048,false
2.5,212.5,19.448702610115078,10.689550251258444,false
2.5,217.5,19.448307002202235,10.790566122302314,false
2.5,222.5,19.447768490856344,10.89732420770974,false
2.5,227.5,19.447092622175415,11.008898567363083,false
2.5,232.5,19.44629986065394,11.124386794466831,false
2.5,237.49999999999997,19.44542497752006,11.242919920950756,false
2.5,242.49999999999997,19.44451470882327,11.363666453910765,false
2.5,247.49999999999997,19.443623908284906,11.485831028583762,false
2.5,252.50000000000003,19.442810603057247,11.608648649207717,false
2.5,257.5,19.442130496777054,11.731375843588248,false
2.5,262.5,19.44163153697851,11.853280257547015,false
2.5,267.5,19.441349163747525,11.973630254923222,false
2.5,272.5,19.44130278280432,12.091685975546495,false
2.5,277.5,19.441493867300977,12.206693058852453,false
2.5,282.5,19.441905904927545,12.317879896640136,false
2.5,287.5,19.442506193031534,12.424458874663,false
2.5,292.5,19.443249270319505,12.525631642918722,false
2.5,297.5,19.4440815853129,12.620598061630304,false
2.5,302.5,19.444946861769793,12.708568141775237,false
2.5,307.5,19.44579154632439,12.788776064245216,false
2.5,312.5,19.446569722105203,12.860495236987184,false
2.5,317.5,19.447246943577127,12.923053338345728,false
2.5,322.5,19.447802583127316,12.975846388226755,false
2.5,327.5,19.448230462379943,13.018351066925856,false
2.5,332.5,19.44853774892384,13.050134737185669,false
2.5,337.5,19.448742307327297,13.07086288691919,false
2.5,342.49999999999994,19.44886887727936,13.080303966352636,false
2.5,347.5,19.448944589547356,13.078331815435495,false
2.5,352.5,19.448994405643738,13.064926042465494,false
2.5,357.5,19.44903707048798,13.040170808248552,false
3.5,2.5,19.039321532574608,13.062068737074261,false
3.5,7.499999999999999,19.03964509177324,12.99368628267369,false
3.5,12.5,19.040151188213944,12.910176528398512,false
3.5,17.5,19.040744871698053,12.812223581561607,false
3.5,22.5,19.041300821520558,12.700633484387044,false
3.5,27.5,19.04168011675931,12.57633521129533,false
3.5,32.5,19.041749177433243,12.440381844122646,false
3.5,37.5,19.04139852234664,12.293949844920798,false
3.5,42.49999999999999,19.040559009535198,12.13833427883442,false
3.5,47.5,19.039213525382984,11.974938103993878,false
3.5,52.5,19.037402628399448,11.805254236543766,false
3.5,57.5,19.035223367914384,11.6308399736951,false
3.5,62.49999999999999,19.03282130425112,11.453284432233842,false
3.5,67.5,19.0303765643833,11.274170810382786,false
3.5,72.5,19.028085484297364,11.095036350305996,false
3.5,77.5,19.026139932655113,10.917333693080982,false
3.5,82.5,19.024706712623384,10.742397713555082,false
3.5,87.5,19.023909457738196,10.571421777844145,false
3.5,92.5,19.023815163790733,10.405446634484912,false
3.5,97.5,19.02442695924567,10.245363879217228,false
3.5,102.5,19.025683974973035,10.091934265851602,false
3.5,107.49999999999999,19.027468322460678,9.945819287904595,false
3.5,112.5,19.02961833687534,9.807622679191779,false
3.5,117.5,19.031946496287503,9.677937019644423,false
3.5,122.49999999999999,19.03425988406812,9.557389683213298,false
3.5,127.50000000000001,19.036380782122972,9.446682057639546,false
3.5,132.5,19.038164996448927,9.346616355177861,false
3.5,137.5,19.039515814619023,9.258105400495978,false
3.5,142.5,19.04039203551418,9.182162442733182,false
3.5,147.49999999999997,19.040809227784965,9.119870149347403,false
3.5,152.5,19.04083418134129,9.072330301564982,false
3.5,157.5,19.04057332386492,9.040598079431145,false
3.5,162.5,19.040156590547838,9.025606921155395,false
3.5,167.5,19.03971877720239,9.028091483820562,false
3.5,172.5,19.039380708807705,9.048516969931402,false
3.5,177.5,19.039232576976712,9.08702284218659,false
3.5,182.5,19.039321532574615,9.143387671661253,false
3.5,187.5,19.039645091773238,9.217019647762198,false
3.5,192.49999999999997,19.04015118821395,9.306974378728363,false
3.5,197.5,19.040744871698042,9.4119984246719,false
3.5,202.5,19.04130082152055,9.530594004213079,false
3.5,207.5,19.0416801167593,9.66109795862222,false
3.5,212.5,19.041749177433253,9.80176668684817,false
3.5,217.5,19.041398522346654,9.950858533837042,false
3.5,222.5,19.040559009535198,10.10670596385329,false
3.5,227.5,19.03921352538297,10.267771544762356,false
3.5,232.5,19.037402628399455,10.432683973976218,false
3.5,237.49999999999997,19.03522336791437,10.60025274473283,false
3.5,242.49999999999997,19.03282130425112,10.769462289000193,false
3.5,247.49999999999997,19.0303765643833,10.939448332766176,false
3.5,252.50000000000003,19.02808548429736,11.109460638643789,false
3.5,257.5,19.026139932655113,11.278817233832957,false
3.5,262.5,19.024706712623384,11.446855616331337,false
3.5,267.5,19.023909457738192,11.612886314742601,false
3.5,272.5,19.023815163790736,11.776153586618141,false
3.5,277.5,19.024426959245663,11.935807043914231,false
3.5,282.5,19.02568397497303,12.090886691447693,false
3.5,287.5,19.027468322460685,12.240322387421292,false
3.5,292.5,19.029618336875338,12.382947239689601,false
3.5,297.5,19.031946496287517,12.517523097884238,false
3.5,302.5,19.034259884068113,12.642775232073774,false
3.5,307.5,19.03638078212297,12.757432605936721,false
3.5,312.5,19.03816499644894,12.860269905552716,false
3.5,317.5,19.039515814619023,12.950147666027556,false
3.5,322.5,19.04039203551417,13.026047389299329,false
3.5,327.5,19.04080922778498,13.08709937320112,false
3.5,332.5,19.040834181341285,13.132601959456188,false
3.5,337.5,19.04057332386492,13.162031936708406,false
3.5,342.49999999999994,19.040156590547824,13.17504679050437,false
3.5,347.5,19.039718777202367,13.171480277306147,false
3.5,352.5,19.03938070880769,13.151333338189703,false
3.5,357.5,19.0392325769767,13.11476261158144,false
4.5,2.5,18.48121028964673,12.955944136116473,false
4.5,7.499999999999999,18.482292324157715,12.863376704020817,false
4.5,12.5,18.484154890131844,12.75089034708023,false
4.5,17.5,18.48651559904259,12.619329720699021,false
4.5,22.5,18.488998577658876,12.46966810167841,false
4.5,27.5,18.49118279433317,12.303031590232912,false
4.5,32.5,18.4926565864798,12.120728062772802,false
4.5,37.5,18.493071663012795,11.924274250295019,false
4.5,42.49999999999999,18.492189999609685,11.715413862315181,false
4.5,47.5,18.48991795696135,11.496120100446479,false
4.5,52.5,18.486323486562966,11.268577244244897,false
4.5,57.5,18.48163425464753,11.035138225197665,false
4.5,62.49999999999999,18.47621670350798,10.79825812784146,false
4.5,67.5,18.47053826579144,10.560407130671212,false
4.5,72.5,18.465116934414816,10.32397010814774,false
4.5,77.5,18.46046395375045,10.091143370224973,false
4.5,82.5,18.457026337892547,9.86384113698323,false
4.5,87.5,18.45513608402236,9.643624722119311,false
4.5,92.5,18.454972258620167,9.431665686469614,false
4.5,97.5,18.4565406315929,9.228750498788518,false
4.5,102.5,18.459673388282045,9.035329033814296,false
4.5,107.49999999999999,18.46404894663942,8.851603402299284,false
4.5,112.5,18.4692293995987,8.677648094923466,false
4.5,117.5,18.47471094493019,8.5135480396417,false
4.5,122.49999999999999,18.479981144456556,8.359538435482209,false
4.5,127.50000000000001,18.484576145326187,8.216129339090282,false
4.5,132.5,18.488131141900624,8.08419891818457,false
4.5,137.5,18.490418285852904,7.965041906264037,false
4.5,142.5,18.49136781029401,7.860363907545548,false
