theta_deg,phi_deg,dir_bempp_dBi
2.5,212.5,19.469257762982245
2.5,217.5,19.469206560423334
2.5,222.5,19.46900251292659
2.5,227.5,19.46864142782703
2.5,232.5,19.46813462952163
2.5,237.49999999999997,19.46750862126223
2.5,242.49999999999997,19.46680296007895
2.5,247.49999999999997,19.46606656726994
2.5,252.50000000000003,19.465352885094163
2.5,257.5,19.464714430642186
2.5,262.5,19.464197373304064
2.5,267.5,19.46383676330257
2.5,272.5,19.463652964750466
2.5,277.5,19.463649706078854
2.5,282.5,19.46381397019473
2.5,287.5,19.46411772937647
2.5,292.5,19.464521312149117
2.5,297.5,19.46497799769405
2.5,302.5,19.465439290907543
2.5,307.5,19.465860254980186
2.5,312.5,19.466204277044948
2.5,317.5,19.466446715638654
2.5,322.5,19.466577017167882
2.5,327.5,19.466599075402854
2.5,332.5,19.466529820847494
2.5,337.5,19.466396240336014
2.5,342.49999999999994,19.46623121601132
2.5,347.5,19.46606871438728
2.5,352.5,19.465938933360146
2.5,357.5,19.465864018226856
3.5,2.5,19.050111782892913
3.5,7.499999999999999,19.050513108232682
3.5,12.5,19.051218939450028
3.5,17.5,19.05212343153593
3.5,22.5,19.05308640308433
3.5,27.5,19.053950932517726
3.5,32.5,19.05456327646928
3.5,37.5,19.054792672445647
3.5,42.49999999999999,19.054548607603977
3.5,47.5,19.05379344465053
3.5,52.5,19.052548852132144
3.5,57.5,19.0508952215377
3.5,62.49999999999999,19.04896408240483
3.5,67.5,19.04692435546927
3.5,72.5,19.044964019284006
3.5,77.5,19.04326932252124
3.5,82.5,19.042003984211888
3.5,87.5,19.04129084500378
3.5,92.5,19.04119815479205
3.5,97.5,19.041732133851646
3.5,102.5,19.042836690448972
3.5,107.49999999999999,19.0444003117485
3.5,112.5,19.046269277107537
3.5,117.5,19.048265584243765
3.5,122.49999999999999,19.05020742384283
3.5,127.50000000000001,19.051929752417497
3.5,132.5,19.05330252566902
3.5,137.5,19.054244456744126
3.5,142.5,19.054730713789777
3.5,147.49999999999997,19.054793701314882
3.5,152.5,19.054516895099265
3.5,157.5,19.05402252727304
3.5,162.5,19.05345465314382
3.5,167.5,19.052959689072146
3.5,172.5,19.052666822865277
3.5,177.5,19.05267072216684
3.5,182.5,19.05301869275337
3.5,187.5,19.053703895560727
3.5,192.49999999999997,19.054665483239695
3.5,197.5,19.05579565798525
3.5,202.5,19.056952792622106
3.5,207.5,19.057979006873556
3.5,212.5,19.058720044568762
3.5,217.5,19.059045020239974
3.5,222.5,19.058863623669275
3.5,227.5,19.058138679575507
3.5,232.5,19.056892514695946
3.5,237.49999999999997,19.055206318172143
3.5,242.49999999999997,19.05321250849195
3.5,247.49999999999997,19.051080947962138
3.5,252.50000000000003,19.049000580389126
3.5,257.5,19.047158624164126
3.5,262.5,19.045719763013583
3.5,267.5,19.044807797635034
3.5,272.5,19.044491943766985
3.5,277.5,19.04477941386281
3.5,282.5,19.045615164953357
3.5,287.5,19.04688882843037
3.5,292.5,19.048447968884627
3.5,297.5,19.050116059579217
3.5,302.5,19.051713006334296
3.5,307.5,19.053075765136807
3.5,312.5,19.05407661081435
3.5,317.5,19.054636916238856
3.5,322.5,19.054734852004817
3.5,327.5,19.05440614765696
3.5,332.5,19.05373788236468
3.5,337.5,19.052856101918113
3.5,342.49999999999994,19.051908796302833
3.5,347.5,19.051046332310758
3.5,352.5,19.050401749976153
3.5,357.5,19.050073357088472
4.5,2.5,18.483774111206532
4.5,7.499999999999999,18.485049150981474
