theta_deg,dir_pec_dBi,dir_opt_dBi
80.5,-8.284029441230752,-8.101312270527055
81.5,-9.471498055363476,-8.360832554391088
81.5,-9.062513030839375,-8.388054914576653
82.5,-10.383728537419909,-9.414170227456943
82.5,-9.892228434511185,-8.625354254140827
83.5,-11.371828676359211,-10.585451933768086
83.5,-10.772022629346452,-8.816756240909093
84.5,-12.438619756247306,-11.902077938987741
84.5,-11.695356119742133,-8.967051079584374
85.5,-13.57815118454839,-13.397783546621012
85.5,-12.64514421459618,-9.081610742621574
86.5,-14.763429117715493,-15.107051641354532
86.5,-13.585395579074431,-9.165767460222584
87.5,-15.923261167774061,-17.03557926404212
87.5,-14.450381351290371,-9.224303367239802
88.5,-16.91109088109728,-19.044454796538922
88.5,-15.138316251716075,-9.261076556622399
89.5,-17.503202935580283,-20.549880592882815
89.5,-15.52724668583038,-9.27877519079287
90.5,-17.503202935580283,-20.549880592882808
90.5,-15.52724668583038,-9.27877519079287
91.5,-16.911090881097287,-19.044454796538936
91.5,-15.13831625171608,-9.261076556622399
92.5,-15.92326116777407,-17.035579264042134
92.5,-14.450381351290375,-9.224303367239802
93.5,-14.763429117715496,-15.107051641354548
93.5,-13.585395579074426,-9.165767460222597
94.5,-13.578151184548396,-13.397783546621024
94.5,-12.645144214596186,-9.081610742621574
95.5,-12.438619756247322,-11.902077938987759
95.5,-11.69535611974213,-8.967051079584362
96.5,-11.371828676359215,-10.585451933768093
96.5,-10.772022629346456,-8.816756240909097
97.5,-10.383728537419916,-9.414170227456951
97.5,-9.892228434511193,-8.62535425414083
98.5,-9.47149805536347,-8.360832554391072
98.5,-9.062513030839371,-8.388054914576651
99.5,-8.629279106303876,-7.404221686777533
99.5,-8.284029441230752,-8.101312270527051
100.50000000000001,-7.850686358455647,-6.528082988902711
100.50000000000001,-7.555433527178931,-7.763418133909369
101.5,-7.129834456352915,-5.7199521240268805
101.5,-6.874424504761519,-7.374904336552596
102.5,-6.461706635219976,-4.97023710339806
102.5,-6.238540045358504,-6.9386618623005845
103.5,-5.8422405849546974,-4.27154070723886
103.5,-5.645553422005828,-6.459753089521288
104.5,-5.26830090562182,-3.618169289483293
104.5,-5.093662809575985,-5.944972333063595
105.5,-4.73761378077688,-3.0057780921404658
105.5,-4.5815747481903735,-5.402266095559776
106.5,-4.2486970834921545,-2.4311151693897215
106.5,-4.10853627378334,-4.840138167595543
107.5,-3.8008000517969447,-1.891836891304135
107.5,-3.6743450131776374,-4.267139416992617
108.5,-3.393858309045825,-1.3863762295872604
108.5,-3.279353319010897,-3.691497295053826
109.50000000000001,-3.0284666482744456,-0.9138509422702078
109.50000000000001,-2.924475742315073,-3.1208967592605004
110.5,-2.7058710563914303,-0.47400300074859186
110.5,-2.611205899130798,-2.5623948569062054
111.5,-2.4279817725281347,-0.06716369910055256
111.5,-2.341647590973645,-2.022437954989676
112.5,-2.1974102979876444,0.3057587163344481
112.5,-2.1185651709542968,-1.5069497052598284
113.5,-2.017535118630565,0.6432700267835711
113.5,-1.9454593466194625,-1.021463841504816
114.5,-1.892603634732255,0.9432588136945501
114.5,-1.826676934148812,-0.5712844396921316
115.49999999999999,-1.8278818429783494,1.2029400724849184
115.49999999999999,-1.7675668837958904,-0.16166482178386254
116.5,-1.8298694552625714,1.4187680645214074
116.5,-1.774700927870636,0.20199604691592693
117.5,-1.9066077140567839,1.5863091795351305
117.5,-1.8561868124971386,0.5139338487785038
118.50000000000001,-2.068122508431058,1.7000602664609854
118.50000000000001,-2.022117662002274,0.7677629439113551
119.5,-2.3270705958174434,1.7531896885608385
119.5,-2.2852268590433367,0.9561624627358191
120.50000000000001,-2.6996989481618443,1.7371651619908466
120.50000000000001,-2.661861519463058,1.07047023425867
121.5,-3.207298579890583,1.6412103943398377
121.5,-3.1734625018877676,1.1001302355505689
122.50000000000001,-3.8784523808514564,1.4514943448047715
122.50000000000001,-3.8488659042775106,1.0319048903707833
123.5,-4.752550842586526,1.1498882051154897
123.5,-4.72793933096557,0.8487018704271166
124.49999999999999,-5.885172384902633,0.7119966763909791
124.49999999999999,-5.867259964596934,0.5277494068971097
125.5,-7.355075837975899,0.10392067750820219
125.5,-7.34792199303337,0.037627648457019595
126.5,-9.26446605450054,-0.7232880938859443
126.5,-9.278249170492849,-0.6667982999703734
127.50000000000001,-11.666686938687295,-1.8434875682456264
127.50000000000001,-11.728467850527746,-1.6534611380338053
128.5,-14.035671002846398,-3.3730486576126455
128.5,-14.19864714892604,-3.0299834429434473
129.5,-14.11653939982948,-5.496311879190541
129.5,-14.329059738808727,-4.973620732367718
130.5,-11.477702780601254,-8.419982274714492
130.5,-11.611206376234769,-7.748250079754771
131.5,-8.53353784807407,-11.297075378229266
131.5,-8.607526830128407,-11.153048768846725
132.5,-6.076881228185962,-9.699515284242736
132.5,-6.121027599086631,-10.96852520273134
